unicode	ids_sequence	xhzd_index	variant	variant_warning	gong_huangcheng_reading	rhyme_class	initial_class	pronunciation_warning	english_definition
𗫝	⿰𘢌⿱𘤛⿰𘠨𘤾								
𗫞	⿰𘢌⿰𘤜⿰𘦉𘠢	2772			dzjị	2.60	VI		to stand up
𗫟	⿲𘢌𘦛𘫵	3163			phow	1.54	I		front of a garment
𗫠	⿰𘢌⿱𘡊⿰𘤫𘣣	3688			gjwɨr	1.86	V		to lie down
𗫡	⿲𘢌𘨙𘦌	2679			njɨ	2.28	III		to arrive
𗫢	⿰𘢌⿱𘨞⿰𘫺𘫺	3692			bə	1.27	I		to cast
𗫣	⿰𘢌⿱𘡎⿰𘥍𘤾	3172			pa̱	1.22	I		to change
𗫤	⿲𘢌𘫿𘪒	3252			nju	2.3	III		many
𗫥	⿰𘢌𘫱	3231			dźjɨ̣	1.69	VII		ten
𗫦	⿲𘢌𘨴𘦂	3320			ɣiew	1.44	VIII		to study
𗫧	⿲𘢌𘠈⿱𘡊⿰𘤜𘢌	3715			njwɨ	1.30	III		custom
𗫨	⿲𘢌𘠈𘫦	3613			dwewr	2.78	III		to enlighten
𗫩	⿰𘢌⿰𘠈⿰𘪲𘠴	2180			dźjɨ̱r	1.92	VII		to give up
𗫪	⿰𘢌⿰𘠈⿰𘪴𘠴								
𗫫	⿲𘢌𘣔𘪣	2245			xow	2.47	VIII		rank
𗫬	⿲𘢌𘩗𘥾	2512			tśia̱	2.20	VII		suffering
𗫭	⿲𘢌𘧌⿱𘠛𘦜	3140			lhjụ	2.52	IX		to sing
𗫮	⿲𘢌𘦈𘪽	3378			dã	1.24	III		a transliteration
𗫯	⿲𘢌𘨷𘩏	2265			lhji	2.10	IX		origin
𗫰	⿲𘢌𘠨⿱𘧉⿰𘤬𘠢								
𗫱	⿺𘢍𘡔	3091			khjã	1.26	V		dangerous
𗫲	⿺𘢍𘡹	3094			khjij	1.36	V		a surname
𗫳	⿺𘢍𘢉	2435			kier	1.78	V		to injure
𗫴	⿺𘢍𘢌	2436			mja̱	1.23	I		fruit
𗫵	⿺𘢍𘢒	2601			kier	1.78	V		nightmare
𗫶	⿺𘢍𘢓	3092			djij	2.33	III		adverb
𗫷	⿺𘢍⿱𘡅𘠅	3093			djij	2.33	III		a place name
𗫸	⿺𘢍⿰𘫺𘠅	3101			·jị	2.60	VIII		to repeat
𗫹	⿺𘢍⿱𘡊𘠃	3559			ɣwə	1.27	VIII		to struggle
𗫺	⿺𘢍𘢤	3560			tshjwĩ	1.16	VI		a transliteration
𗫻	⿺𘢍𘣄	3099			dźji̱j	1.39	VII		to live
𗫼	⿺𘢍𘤃	2438			ljɨ̣	2.61	IX		a kind of grass
𗫽	⿺𘢍𘤄	2437			khjij	2.33	V		musk deer
𗫾	⿺𘢍𘤧	3779			ljɨ̣	2.61	IX		hare
𗫿	⿺𘢍𘤻	3096			kjwi	1.11	V		used
𗬀	⿺𘢍𘥌	3095			lwu	2.1	IX		to hide
𗬁	⿺𘢍𘦃	3098			djɨj	2.37			to stop
𗬂	⿺𘢍𘦖	3561			war	1.80	II		to twine
𗬃	⿺𘢍⿰𘤷𘠉	3100			se	1.8	VI		intention
𗬄	⿺𘢍⿱𘡝𘫺	3097			tswa	1.17	VI		a surname
𗬅	⿺𘢍𘨠	3562			mja̱	1.23	I		couple
𗬆	⿰⿺𘢍𘡹𘢌	2439			phe	1.8	I		a surname
𗬇	⿺𘢍⿰𘡹𘢷	3102			la	2.14	IX		entertainment
𗬈	⿺𘢍⿰𘢷𘡹	3103			we	2.7	II		entertainment
𗬉	⿺𘢍⿰𘩢𘠉	3563			se	1.8	VI		mustard
𗬊	⿺𘢍⿰𘡫𘦳	3564			ɣwə	1.27	VIII		a surname
𗬋	⿺𘢍𘫙	2062			ɣwej	1.33	VIII		a surname
𗬌	⿱𘢎𘡢	1883			zẽ	1.15	IX		a transliteration
𗬍	⿱𘢎⿺𘡄𘡷	1889			gju	2.3	V		silk
𗬎	⿰𘢏𘢌	2459			śjow	1.56	VII		villain
𗬏	⿲𘢏𘠁𘢌	2465			rjɨj	2.37	IX		third
𗬐	⿰𘢏𘤄	2460			sə	1.27	VI		a transliteration
𗬑	⿰𘢏𘤬	3664			tśjɨ	1.29	VII		a surname
𗬒	⿰𘢏𘦄	2646			da	2.14	III		a surname
𗬓	⿰𘢏𘦔	3642			tshjwu	1.3	VI		lightning
𗬔	⿰𘢏𘪄	3665			lhjạ	1.64	IX		lightning
𗬕	⿲𘢏𘢌𘦜	3597			mjijr	2.68	I		dark
𗬖	⿲𘢐𘢅𘢌	2425			·we	2.7	II		beast
𗬗	⿲𘢐𘢅𘧤	2039			·we	2.7	II		land
𗬘	⿲𘢒𘠁𘡑	3189			ljo	2.44	IX		to spread
𗬙	⿰𘢒𘣷	2172			tśhju	2.2	VII		that
𗬚	⿰𘢒𘥷	3226			njɨ̱	1.32	III		to bask
𗬛	⿰𘢒𘥿	2457			rer	2.71	IX		soft-shelled turtle
𗬜	⿲𘢒𘠁𘦳	3675			kjọ	1.72	V		to fill in
𗬝	⿰𘢒𘨃	3786			rer	2.71	IX		shield
𗬞	⿲𘢒𘠶𘥷	3227			bjịj	1.61	VII		to bask
𗬟	⿲𘢒𘨃𘠢	2745			zer	2.71	IX		to expose to sunlight
𗬠	⿲𘢒𘦳𘠴	2126			ba	1.17	I		a transliteration
𗬡	⿰𘢒𘫓	3364			bjĩ	1.16	I		a transliteration
𗬢	⿲𘢒𘨃𘢌	2472			gjwɨ	1.30	V		firm
𗬣	⿰𘢔𘡧	2306			pə	1.27	I		little livestock
𗬤	⿰𘢔𘡬	2315			śju	2.2	VII		foundation
𗬥	⿰𘢔𘢌	2532			djij	1.36	III		the sun
𗬦	⿰𘢔𘣵	2308			xew	2.38	VIII		musical instrument; a surname (?)
𗬧	⿲𘢔𘠶𘠟	3405			·wə̣	1.68	III		to burn
𗬨	⿰𘢔𘥗	3403			pə	1.27	I		to seek
𗬩	⿰𘢔𘦢	3740			kie	1.9	V		commandment
𗬪	⿲𘢔𘠶𘡱	2328			lho̱	2.45	IX		bright
𗬫	⿲𘢔𘠶𘢌	2533			djɨr	2.77	III		surface
𗬬	⿲𘢔𘢌𘠴	2316			djij	2.33	III		ever
𗬭	⿰𘢔𘨌	3745			dzja̱	2.21	VII		a surname
𗬮	⿲𘢔𘠶𘤬	3741			djɨr	2.77	III		diligent
𗬯	⿲𘢔𘢌𘣈	2317			kwə	2.25	V		to listen
𗬰	⿰𘢔⿸𘡋𘥓	3746			dzji	2.9	III		male
𗬱	⿲𘢔𘤩𘠴	2318			zju	1.2	IX		loyal
𗬲	⿲𘢔𘢡𘤾	2897			dia̱	2.20	III		a transliteration
𗬳	⿰𘢔⿰𘠶⿰𘢌𘠴	2312			pej	1.33	I		outer
𗬴	⿲𘢔𘤧𘫽	3421			ləj	1.40	IX		equal
𗬵	⿲𘢔𘠶𘪣	2329			dźjwow	1.56	VII		to float
𗬶	⿺𘢖⿰𘦳𘣟	2307			kiwa	1.18	V		to step on
𗬷	⿵𘢗𘡃	4770			njowr	2.83	III		a kind of silk gauze
𗬸	⿵𘢗𘣹	4765			nia̱	2.20	III		yarn
𗬹	⿵𘢗𘥊								
𗬺	⿵𘢗𘥛	4793			rar	2.73	IX		yarn
𗬻	⿵𘢗𘥷	4748			kor	1.94	V		brocade
𗬼	⿵𘢗𘥿	4772			·jɨr	2.77	VIII		silk
𗬽	⿵𘢗𘦢	4756			rjɨj	2.37	IX		silk
𗬾	⿵𘢗𘦹	4773			ljụ	2.52	IX		silk
𗬿	⿵𘢗⿱𘡛𘡃	4771			ner	2.71	III		tough silk
𗭀	⿵𘢗⿰𘠣𘢰	4749			rjɨj	2.37	IX		silk
𗭁	⿵𘢗𘨃	4747			bur	1.75	I		shell
𗭂	⿵𘢗𘩉	4782			śo	2.42	VI		mixed silk
𗭃	⿵𘢗𘪢	4774			xjow	2.49	VIII		a kind of bird
𗭄	⿵𘢗⿰𘥇𘢌	4757			tjɨ̣j	1.62	III		satin
𗭅	⿵𘢗𘫙	4742			dźjɨ̣		VII		silk
𗭆	⿰𘢚𘠴	3842			tạ	1.63	III		mound
𗭇	⿰𘢚𘣣	3861			gjij	2.33	V		shin
𗭈	⿰𘢚𘣸	3845			bji	2.10	I		to overflow
𗭉	⿰𘢚𘤧	4012			tśjɨ̱	2.29	VII		to fall
𗭊	⿰𘢚𘤬	3989			·jij	1.36	VIII		an auxiliary word
𗭋	⿰𘢚𘥓	3963			tśjɨ	1.29	VII		a horse with white trotters
𗭌	⿰𘢚𘥠	3843			dow	2.47	III		shin
𗭍	⿰𘢚𘥦	3844			dźjịj	1.61	VII		to go
𗭎	⿲𘢚𘠁𘤧	4013			śji̱	2.12	VII		to fall
𗭏	⿲𘢚𘢌𘠌	3857			gjij	2.33	V		fetters
𗭐	⿰𘢚𘦑	3908			lu	2.1	IX		proper
𗭑	⿰𘢚𘦡	4010			śju	1.2	VII		fetters
𗭒	⿰𘢚𘦳	3990			khjɨ	1.30	V		foot
𗭓	⿰𘢚⿱𘠊𘫿	3860			ɣiej	1.34	VIII		shoes
𗭔	⿲𘢚𘢩𘠾	3945	𗭕		lej	2.30	IX		to trample
𗭕	⿲𘢚𘢪𘠾	3944			lej	2.30	IX		to trample
𗭖	⿰𘢚𘨠	3994			khjɨ	2.28	V		threshold
𗭗	⿰𘢚𘨷	3959			piə	2.26	I		boots
𗭘	⿰𘢚𘨼	3964			tsa̱	1.22	VI		shin
𗭙	⿰𘢚⿱𘠊𘥫	3863					VI	true	to extract
𗭚	⿲𘢚𘨃𘠨	3862			sjɨ	2.28	VI		fetters
𗭛	⿲𘢚𘦳𘢅	3924			sjwɨj	2.37	VI		heel
𗭜	⿲𘢚𘦳𘢕	3886			dźia̱	2.20	VII		lameness
𗭝	⿰𘢚𘫏	3943			thwo	2.42	III		bottom
𗭞	⿰𘢚𘫞	3912			bji	2.10	I		step
𗭟	⿲𘢚𘦳𘣒	3885			ljij	1.35	IX		convulsion
𗭠	⿰𘢚⿱𘨝𘤊	3991			khã	2.22	V		a transliteration
𗭡	⿲𘢚𘪲𘠴	3848			tsjwɨr	1.86	VI		line
𗭢	⿲𘢚𘫏𘠢	3922			tśhjwiw	2.40	VII		to support
𗭣	⿲𘢚𘫏𘨷	3961			thwo	1.49	III		to pad
𗭤	⿺𘢛⿰𘠈𘠶	3856			pjụ	1.59	I		incomplete
𗭥	⿺𘢛𘣩	3855			pjar	2.74	I		incomplete
𗭦	⿺𘢛⿰𘫏𘠢	3930	𗭢		tśhjwiw	2.40	VII		to support
𗭧	⿰𘢜𘦳	4009	𗭭		djɨ̣	1.69	VI		smash
𗭨	⿰𘢝𘠢	3931			sjwi	2.10	VI		unreal image
𗭩	⿲𘢝𘠁𘡃	3979			wẹ	1.65	II		foolish
𗭪	⿰𘢝𘤔	3916			sji	2.10	VI		an auxiliary word
𗭫	⿰𘢝𘥜	3870			pji	1.11	I		a surname
𗭬	⿰𘢝𘥿	3896			pji	1.11	I		a kind of insect
𗭭	⿰𘢟𘦳	3988			djɨ̣	1.69	VI		smash
𗭮	⿲𘢡𘣃𘠢	5413			źjow	1.56	IX		down
𗭯	⿰𘢡𘧓	5471			·jow	1.56	VIII		a surname
𗭰	⿲𘢡𘢢𘠴								
𗭱	⿰𘢡𘨯	5557			gja	2.17	V		old sheep
𗭲	⿲𘢡𘠨𘤄	5295			thu	2.1	III		a kind of animal
𗭳	⿲𘢡𘠨𘤬	5716			thu	2.1	III		lamb
𗭴	⿲𘢡𘤊𘠴	5087			·jow	1.56	VIII		a surname
𗭵	⿰𘢡⿺𘤖𘡷	5133			rjijr	2.68	IX		wool
𗭶	⿰𘢡⿰𘣃⿰𘢌𘠁	5256			gjo	2.44	V		to decline
𗭷	⿲𘢡𘨯𘡧	5095			ner	1.77	III		old sheep
𗭸	⿱𘢣⿺𘠔𘢌	5805			piej	2.31	I		to combine
𗭹	⿰𘢤𘠡	5528			bar	1.80	I		drum
𗭺	⿰𘢤𘠳	5119			pjɨr	1.86	I		to compare
𗭻	⿰𘢤𘡑	5522			lji̱j	2.35	IX		to wait
𗭼	⿰𘢤𘡦	5120			swew	1.43	VI		bright
𗭽	⿰𘢤𘢌	5283			dẹ	2.58	III		to know
𗭾	⿰𘢤𘣃	5524			bju	1.2	I		transparent
𗭿	⿰𘢤𘣦	5112			zjwịj	2.54	IX		to rub
𗮀	⿲𘢤𘠳𘠢	5415			bju	1.2	I		intelligent
𗮁	⿰𘢤𘥍	5532			?jịj	2.54		true	to sing praises of
𗮂	⿲𘢤𘡡𘠢	5421			phjo	1.51	I		dexterous
𗮃	⿰𘢤𘥜	5084			tsjwi	1.11	VI		whistling arrow
𗮄	⿰𘢤𘥦	5066			phow	2.47	I		to ask
𗮅	⿲𘢤𘢚𘠢	5414			rejr	2.66	IX		many
𗮆	⿰𘢤𘦳	5710			ljị	1.67	IX		arrow
𗮇	⿲𘢤𘠡𘡢	5115			djir	1.79	III		rattle of a drum
𗮈	⿰𘢤⿱𘠛𘤩	5547			nja		III		frost
𗮉	⿲𘢤𘡒𘢌	5293			lji̱	2.12	IX		to wait
𗮊	⿲𘢤𘡡𘢬	5706			phjo	1.51	I		Mongolian gazelle
𗮋	⿰𘢤𘩁	5114			kiew	2.39	V		to perforate
𗮌	⿰𘢤⿱𘣍𘠺	5075			·ji	1.11	VIII		man and his wife’s brother
𗮍	⿲𘢤𘧤𘠆	5260			dzji	2.10	VI		to tattoo the face (as a punishment)
𗮎	⿲𘢤𘡯𘡧	5076			dźjɨ̱r	1.92	VII		feast
𗮏	⿲𘢤𘢰𘢞	5351			gji̱j	1.39	V		to surpass
𗮐	⿰𘢤𘪤								
𗮑	⿰𘢤𘪤	5150			thu̱	1.5	III		to beg
𗮒	⿰𘢤⿰𘠐⿰𘢌𘠴	5077			mjɨ	1.30	I		to puzzle
𗮓	⿲𘢤𘫿𘢌	5291			ljɨ̱	2.29	IX		to detest
𗮔	⿲𘢤𘡦𘦜	5692			swew	1.43	VI		to shine
𗮕	⿰𘢤⿰𘡦⿰𘢌𘠴	5078			mjɨ̱	1.32	I		night
𗮖	⿰𘢥𘠡	5529			śjwi	2.9	VII		a surname
𗮗	⿰𘢥𘢶	5496			bjɨ	1.30	I		cheek
𗮘	⿰𘢥𘫽	5546			śjwi	2.9	VII		food
𗮙	⿲𘢥𘨷𘠡	5530			śjwi	1.10	I		in a soft low voice
𗮚	⿺𘢦𘠅	5509			bjị	1.67	I		urine
𗮛	⿺𘢦𘠡	5511			tśiow	1.55	VII		to distribute
𗮜	⿺𘢦𘠭	5431					IX	true	to meet; to crowd
𗮝	⿺𘢦⿱𘠙𘠅	5359			lhiow	2.48	IX		minced meat
𗮞	⿺𘢦𘡢	5099			śjwar	1.97	VII		a transliteration
𗮟	⿺𘢦𘡮	5100			tshwe	1.8	VI		dirty
𗮠	⿺𘢦𘢉	5271			ljị	2.60	IX		disaster
𗮡	⿺𘢦𘢶	5510	𗮗		bjɨ	1.30	I		cheek
𗮢	⿺𘢦⿰𘠡𘠡	5519			lhiow	2.48	IX		ringworm
𗮣	⿺𘢦⿰𘠳𘠢	5432			bju	1.2	I		rickets
𗮤	⿺𘢦𘤄	5268			thu	2.1	III		penis
𗮥	⿺𘢦𘤋	5358			mjɨ	2.28	I		bottom
𗮦	⿺𘢦𘤕	5357			tśji̱	1.14	VII		to make love
𗮧	⿺𘢦𘤧	5780			lhie	2.8	IX		scabies
𗮨	⿺𘢦𘥫	5101			khji	2.10	V		bottom
𗮩	⿺𘢦𘥰	5104			ljị	2.60	IX		rib
𗮪	⿺𘢦𘥲	5360			su	2.1	VI		pus
𗮫	⿺𘢦𘥾	5272			tśhjɨ	2.27	VII		sore
𗮬	⿺𘢦𘥿	5269			ljɨ̱	2.29	IX		rickets
𗮭	⿺𘢦𘦠	5781			ljị	2.60	IX		chest
𗮮	⿺𘢦𘦱	5700			nji̱	2.12	III		nose
𗮯	⿺𘢦𘦳	5701			śjwa̱	1.21	VII		the upper part of the human body
𗮰	⿺𘢦𘧘	5273			sji	2.10	VI		liver
𗮱	⿺𘢦⿰𘠈𘤥	5704			sja	2.17	VI		to make love
𗮲	⿺𘢦𘧥	5103			gjịj	2.54	V		to fry in shallow oil without stirring
𗮳	⿺𘢦𘧩	5102			gjur	1.76	V		kidney
𗮴	⿺𘢦𘨆	5702			mja̱	1.23	I		sore
𗮵	⿺𘢦𘫵	5513			ɣu	2.4	VIII		to combine
𗮶	⿺𘢦⿱𘡓𘢓	5515			pjwɨ̱r	2.85	I		spleen
𗮷	⿺𘢦𘨻	5512			zjwɨ	1.30	IX		rickets
𗮸	⿺𘢦⿰𘠈𘥾	5274			pə̣	1.68	I		pus
𗮹	⿺𘢦⿰𘡡𘡭	5108			sjo	2.44	VI		crop (of a bird)
𗮺	⿺𘢦⿱𘠀⿲𘡃𘠁𘡃	5105			tsə̣	1.68	VI		lungs
𗮻	⿺𘢦⿰𘠳𘤃	5278			bju	1.2	I		a kind of grass
𗮼	⿺𘢦⿱𘡊𘤩	5703			pjịj	2.54	I		belly and rib
𗮽	⿺𘢦⿱𘠛⿰𘢌𘠢	5514			rjijr	2.68	IX		rib
𗮾	⿺𘢦⿰𘣑𘢌	5275			ner	2.71	III		breast
𗮿	⿺𘢦⿰𘠭𘥜	5107			kjwɨ̣	1.69	V		to combine
𗯀	⿺𘢦⿰𘡯𘤃	5277			śjiw	2.40	VII		a kind of grass
𗯁	⿺𘢦⿰𘡯𘤬	5705			śjiw	2.40	VII		louse
𗯂	⿺𘢦⿰𘤃𘡤	5109			wiəj	2.36	II		fart
𗯃	⿺𘢦⿲𘢰𘢌𘠁	5276			rjur	2.70	IX		sore
𗯄	⿺𘢦⿱𘥄⿲𘠈𘠒𘠉	5517			?jạ	2.57	V	true	scar
𗯅	⿺𘢦⿰𘣹𘣩	5111			swu	1.1	VI		dried meat
𗯆	⿺𘢦⿰𘤋𘫿	5520			mjɨ̣	2.61	I		to jump
𗯇	⿺𘢦⿰𘢬𘥜	5106			le̱j	1.37	IX		testis
𗯈	⿺𘢦⿱𘥄𘫿	5516			wjị	1.67	II		trace
𗯉	⿺𘢦⿰𘥿𘤃	5279			ljɨ̱	2.29	IX		a kind of grass
𗯊	⿺𘢦⿰𘤘𘥦	5110			khjã	2.24	V		a transliteration
𗯋	⿺𘢦⿲𘫿𘠁𘤏	5362			bjij	2.33	I		penis
𗯌	⿺𘢦⿰𘤃𘨱	5521			tshie	2.7	VI		stinking
𗯍	⿺𘢦⿰𘤘𘧺	5361	𗯊		khjã	2.24	V		a transliteration
𗯎	⿺𘢦𘫩	5518			tjwɨ̣	1.69	III		pudendum
𗯏	⿺𘢦⿱𘢎𘪣	5270			bə̱	1.31	I		maggot
𗯐	⿲𘢨𘠈𘡔	5962						true	to strive
𗯑	⿰𘢨𘣞	5848			tshjo	1.51	VI		to tie and strap something tightly
𗯒	⿲𘢨𘤷𘡑	5964			tsha	2.14	VI		a transliteration
𗯓	⿲𘢨𘣝𘣈	5854			dzjo	1.51	VI		to tie and strap something tightly
𗯔	⿰𘢩𘠈	5874			lej	2.30	IX		vexed
𗯕	⿰𘢩𘠾	5946			lej	2.30	IX		to cut off
𗯖	⿰𘢩𘣡	5841	𗯠		khwụ	2.51	V		to cut
𗯗	⿰𘢩𘥦	5834	𗯡		lej	2.30	IX		to change
𗯘	⿲𘢩𘠒𘢚	5895			lo	2.42	IX		to tread
𗯙	⿰𘢩𘦳								
𗯚	⿰𘢩𘪁	5980			gu̱	2.5	V		to do forced labor
𗯛	⿲𘢩𘦳𘠢	5912			kjwɨ	1.30			to cut
𗯜	⿲𘢩𘤩𘧺	5893			lhej	2.30	IX		to change
𗯝	⿲𘢩𘦳𘥦	5842			lhej				to translate
𗯞	⿰𘢪𘠢	5433			bjij	1.36	I		to ring
𗯟	⿰𘢪𘢒	5386			ŋwu	2.1	V		to hear
𗯠	⿰𘢪𘣡	5197			khwụ	2.51	V		to cut
𗯡	⿰𘢪𘥦	5174			lej	2.30	IX		to change
𗯢	⿰𘢪𘦳	5746			gjwɨ	1.30	V		to cut
𗯣	⿰𘢪𘪁								
𗯤	⿲𘢪𘦳𘠢	5446			kjɨ	1.30	V		to cut
𗯥	⿲𘢪𘦳𘥦	5198			lhej	2.30	IX		to translate
𗯦	⿳𘢫𘠀𘠺	4872			ljɨj	2.37	IX		a surname
𗯧	⿱𘢫⿲𘠁𘠮𘠢	4682			khjɨ̱	2.29	V		chimney
𗯨	⿱𘢫⿲𘠁𘡃𘠢	4713			rjur	1.76	IX		world
𗯩	⿰𘢬𘠴	5165			twụ	1.58	III		each
𗯪	⿰𘢬𘡧	5166			tju	1.3	III		clumsy
𗯫	⿰𘢬𘡫	5239			ljọ	2.64	IX		to catch
𗯬	⿰𘢬𘢌	5325			wejr	2.66	II		nose bolt
𗯭	⿰𘢬𘢬	5739			wej	1.33	II		peaceful and happy
𗯮	⿰𘢬𘢰	5625			thwu̱	1.5	III		same
𗯯	⿰𘢬𘢶	5588			tjij	2.33	III		clumsy
𗯰	⿲𘢬𘠁𘢌	5327			thji	2.10	III		tail
𗯱	⿰𘢬𘤧	5793			ɣjwɨ̣	1.69	VIII		to ripple
𗯲	⿰𘢬𘤹	5626			lju	2.3	IX		to invade
𗯳	⿰𘢬𘤻	5657			njwɨ	1.30	III		luxuriant
𗯴	⿲𘢬𘠁𘤕	5399			khju	1.3	V		below
𗯵	⿰𘢬𘥾	5326			tśjɨ	1.29	VII		to destroy
𗯶	⿰𘢬𘦏	5405					I	true	a surname
𗯷	⿰𘢬𘦢	5762			kjwɨ̣j	1.62	V		emperor
𗯸	⿰𘢬𘦮	5738			pã	1.24	I		stunned
𗯹	⿰𘢬𘦳	5754			lju	2.3	IX		to catch
𗯺	⿰𘢬𘧃	5658			djwar	1.82	III		knife
𗯻	⿰𘢬𘧥	5240			dźja̱	1.21	VII		to burn
𗯼	⿰𘢬𘧦	5185			dźja̱	1.21			to burn
𗯽	⿲𘢬𘠁𘦏	5406			ma̱r	1.83	I		wonderful
𗯾	⿲𘢬𘠁𘧃	5664			ljụ	1.59	IX		Mongolian gazelle
𗯿	⿰𘢬𘨷	5659			wejr	1.73	II		luxuriant
𗰀	⿲𘢬𘡡𘢌	5332			thwu̱	1.5	III		open
𗰁	⿰𘢬𘩕	5176			dźjo̱w	2.50	VII		can
𗰂	⿰𘢬𘫴	5595			xwo	2.42	VIII		a transliteration
𗰃	⿲𘢬𘦢𘠴	5186			tshjɨ	2.28	VI		salt
𗰄	⿲𘢬𘧹𘡧	5187			gjwij	1.36	V		a surname
𗰅	⿲𘢬𘧹𘢶	5597			gjij	1.36			a transliteration
𗰆	⿰𘢭𘠴	5167			lha		IX		deer
𗰇	⿰𘢭𘡑	5623			lha		IX		to call
𗰈	⿲𘢭𘠌𘠡	5629			dźjwa̱	2.18	VII		a surname
𗰉	⿰𘢭𘣑	5238			lha		IX		wine
𗰊	⿰𘢭𘣵	5181			tsar	1.80	VI		beast
𗰋	⿰𘢭𘤁	5438			tsar	1.80	VI		a kind of silk
𗰌	⿰𘢭𘤃	5331			tsar	1.80	VI		a kind of grass
𗰍	⿲𘢭𘡡𘠡	5630			dźiew	1.44	VII		to be worried about
𗰎	⿰𘢭⿱𘠙𘧃	5398			·ụ	1.58	VIII		young deer
𗰏	⿱𘢮⿰𘢌𘣞	788			mjij	2.33	I		death
𗰐	⿱𘢮⿰𘢌𘨱	781			mjij	2.33	I		death
𗰑	⿰𘢯𘪿	5945			tjɨr	1.86	III		heavy
𗰒	⿲𘢰𘠁𘠢	744			bow	2.47	I		rapid
𗰓	⿰𘢰𘢌	491			ljọ	2.64	IX		how
𗰔	⿰𘢰𘢓	997			·jiw	2.40	VIII		a surname
𗰕	⿰𘢰𘢤								
𗰖	⿲𘢰𘢌𘠁	478			śio̱	1.53	VII		to gather
𗰗	⿰𘢰𘫽	1084			ɣạ	2.56	VIII		ten
𗰘	⿲𘢰𘠁𘥒	1097			·u	2.1	II		entertainment
𗰙	⿲𘢰𘡃𘠴	174			khwe		V		circle
𗰚	⿲𘢰𘢒𘠢	755			ljɨ̱	1.32	IX		a unit of weight
𗰛	⿰𘢰𘦢	1640			dzjịj	1.61	VI		to cross
𗰜	⿰𘢰𘧓	856			mər	2.76	I		origin
𗰝	⿲𘢰𘠁𘥿	499			piẹ	1.66	I		frog
𗰞	⿲𘢰𘢌𘠴	176			nja̱	1.21	III		dark
𗰟	⿲𘢰𘡃𘡧	175			·jwi	2.10	VIII		ground
𗰠	⿰𘢰⿱𘥃𘠒	1011			śie̱	1.13	VII		to collect
𗰡	⿲𘢰𘡡𘢶	963			ka	2.14	V		source
𗰢	⿲𘢰𘦏𘠢	761			gja̱	2.21	V		a place name
𗰣	⿲𘢰𘢡𘢓	1012			zjịj	1.61	IX		how many
𗰤	⿲𘢰𘢌𘥓	1125			la	2.14	IX		clear
𗰥	⿲𘢰𘡃𘦳	1649			khwa	1.17	V		garden
𗰦	⿲𘢰𘢌𘦜	1595			lwo	1.49	IX		dim
𗰧	⿲𘢰𘫽𘤱	1126			lhjo̱r	1.94	IX		a unit of length
𗰨	⿰𘢰⿰𘢌⿰𘠁𘦡	1844			·jiw	2.40	VIII		an old-fashioned long narrow table or desk
𗰩	⿲𘢰𘦏𘧈	964			·wọ	1.70	VIII		pillow
𗰪	⿺𘢲⿰𘢚𘠢	772			lhe̱w	2.41	IX		copulation
𗰫	⿰𘢳𘧷	1233			to	1.49	III		dark
𗰬	⿰𘢳⿱𘡅𘤅	1292			to	1.49	III		a surname
𗰭	⿳𘠛𘠛⿵𘠒⿲𘡃𘠁𘡃	1040			śja	1.19	VII		ten
𗰮	⿳𘠛𘠛⿲𘠐𘧤𘦗	947			wər	1.84	II		to die young
𗰯	⿲𘢵𘠁𘡑	1251			lhjɨ	1.30	IX		to flatter
𗰰	⿰𘢵𘢵	1264			kjir	2.72	V		a surname
𗰱	⿰𘢵𘤓	678			gu	1.1	V		to happen
𗰲	⿰𘢵𘤺								
𗰳	⿲𘢵𘠁𘤻	1370			lhjɨ	1.30	IX		bear
𗰴	⿰𘢵𘦧	1688			gu	1.1	V		toil
𗰵	⿰𘢵𘧮	336			gu	1.1	V		dowry
𗰶	⿲𘢵𘧥𘣩								
𗰷	⿰𘢷⿺𘠔𘠅	1431			zwər	1.84	IX		to rinse
𗰸	⿰𘢷𘣮	390			khjwɨ	1.30	V		to cut
𗰹	⿲𘢷𘠁𘢷	1476			tsow	2.47	VI		a surname
𗰺	⿰𘢷𘤕	722			dzjwɨ̣	1.69	VI		fast
𗰻	⿰𘢷𘤩	1793			lhji		IX		to fear
𗰼	⿰𘢷𘤮	1788			·o	1.49	VIII		to arrange for
𗰽	⿰𘢷𘥜	405			dzjwɨ̣	1.69	VI		wall
𗰾	⿰𘢷𘥦	393			nji		III		wizard
𗰿	⿲𘢷𘠁𘤩	1795			·jwi	2.10	VIII		to barter
𗱀	⿰𘢷𘦳	1794			·o	1.49	VIII		host
𗱁	⿲𘢷𘫽𘠢	826			thjɨ	1.30	III		to call
𗱂	⿰𘢷⿱𘠙𘣼	718			sji	1.11	VI		power of arms
𗱃	⿲𘢷𘤩𘠢	827			thjɨ	1.30	III		east
𗱄	⿲𘢷𘦳𘠢	828			thjɨ̣	2.61	III		case
𗱅	⿲𘢷𘢌𘣮	394			lhjị	2.60	IX		down
𗱆	⿲𘢷𘦂𘠴	395			ŋwe	2.7	V		ox
𗱇	⿲𘢷𘤩𘡴	886			le	2.7	IX		east
𗱈	⿲𘢷𘤩𘢷	1477			le	2.7	IX		tiger
𗱉	⿲𘢷𘢌𘦧	1785			lhjij	2.33	IX		lack
